"productcategory","productname","productimageurl"
"[""Kız Bebek"",""Yenidoğan""]","Yenidoğan Hediye Seti","https://akstatic.lcwaikiki.com/ProductImages/20172/5/2964884/M_20172-7KH653Z1-FDU_A.jpg"
"[""Kız Bebek"",""Eşofman""]","Kız Bebek Jean Görünümlü Uzun Tayt","https://akstatic.lcwaikiki.com/ProductImages/20181/5/3034347/M_20181-8S2833Z1-326_A.jpg"
"[""Erkek"",""Aksesuar""]","Deri Görünümlü Kemer","https://akcdn1.lcwaikiki.com/ProductImages/20172/1/2754722/M_20172-7K2451Z8-CXP_A.jpg"
"[""Bebek & Çocuk"",""Battaniye""]","Bebek Battaniye","https://akcdn2.lcwaikiki.com/ProductImages/20162/10/3112946/M_20162-7KA740Z1-702_A.jpg"
"[""Erkek"",""Hırka ve Kazak""]","Bisiklet Yaka Kazak","https://akcdn3.lcwaikiki.com/ProductImages/20181/1/2932836/M_20181-8S0254Z8-D0A_A.jpg"
"[""Kız Bebek"",""Aksesuar""]","Kaydırmaz Tabanlı Soket Çorap 4'lü","https://akcdn1.lcwaikiki.com/ProductImages/20181/5/3093678/M_20181-8S6313Z1-K00_A.jpg"
"[""Kız Bebek"",""Hırka ve Kazak""]","Kız Bebek Triko Hırka","https://akcdn3.lcwaikiki.com/ProductImages/20181/5/3024991/M_20181-8S2288Z1-FRA_A.jpg"
"[""Kız Bebek"",""Kaban ve Mont""]","Kız Bebek Kapüşonlu İnce Mont","https://akstatic.lcwaikiki.com/ProductImages/20181/5/2924484/M_20181-8S0096Z1-FTG_A.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Pijama Alt","http://static.lcwaikiki.com/ProductImages/20172/2/2809665/V1/M_20172-7K4223Z8-DDG_A.jpg"
"[""Kadın"",""Kaban, Mont ve Trençkot""]","Deri Görünümlü Biker Mont","https://akcdn2.lcwaikiki.com/ProductImages/20172/2/2698197/V2/M_20172-7K0315Z8-CVL_5.jpg"
"[""Kız Bebek"",""Aksesuar""]","Kız Bebek Triko Atkı Bere ve Eldiven","https://akcdn2.lcwaikiki.com/ProductImages/20172/5/2797242/M_20172-7K3743Z1-FEQ_A.jpg"
"[""Genç Erkek"",""Hırka ve Kazak""]","Bisiklet Yaka Kazak","https://akstatic.lcwaikiki.com/ProductImages/20172/3/3000536/M_20172-7KI370Z8-355_B.jpg"
"[""Kadın"",""Tişört, Body ve Atlet""]","Tişört","https://akcdn2.lcwaikiki.com/ProductImages/20172/2/2924198/M_20172-7K8581Z8-EHL_A.jpg"
"[""Kadın"",""Gömlek ve Bluz""]","Kol Ucu Dantel Detaylı Bluz","https://akstatic.lcwaikiki.com/ProductImages/20181/2/3005326/M_20181-8S1398Z8-X07_Z.jpg"
"[""Kadın"",""Hırka ve Kazak""]","V Yaka Kazak","https://akcdn3.lcwaikiki.com/ProductImages/20172/2/2916340/V1/M_20172-7K7804Z8-A1O_5.jpg"
"[""Erkek Çocuk"",""Tişört ve Atlet""]","Kaplan Baskılı Tişört","https://akcdn3.lcwaikiki.com/ProductImages/20181/4/3075758/M_20181-8S5692Z4-GJW_A.jpg"
"[""Banyo"",""Banyo Paspası""]","Banyo Paspası","https://akcdn2.lcwaikiki.com/ProductImages/20162/7/3182611/M_20162-8SB343Z8-671_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","İnce Bomber Mont","https://akcdn3.lcwaikiki.com/ProductImages/20181/1/2955354/M_20181-8S0449Z8-HNG_A.jpg"
"[""Erkek"",""Spor Giyim""]","Jogger Eşofman Altı","https://akcdn3.lcwaikiki.com/ProductImages/20181/1/3042298/M_20181-8S3138Z8-490_A.jpg"
"[""Erkek"",""Jean""]","Standart Kalıp Jean Pantolon","https://akcdn2.lcwaikiki.com/ProductImages/20181/1/2980681/M_20181-8S0779Z8-327_A.jpg"
"[""Kız Bebek"",""Yenidoğan""]","Kız Bebek Salopet ve Bere","http://static.lcwaikiki.com/ProductImages/20181/5/3026254/M_20181-8S2448Z1-671_A.jpg"
"[""Kız Bebek"",""Eşofman""]","Kız Bebek Uzun Kadife Tayt","https://akcdn3.lcwaikiki.com/ProductImages/20172/5/2737560/M_20172-7K1114Z1-KKK_A.jpg"
"[""Kadın"",""Spor Giyim""]","Spor Tayt","https://akcdn1.lcwaikiki.com/ProductImages/20172/2/3015267/V2/M_20172-7KJ306Z8-674_5.jpg"
"[""Kız Bebek"",""Elbise""]","Kız Bebek Jean Elbise","https://akstatic.lcwaikiki.com/ProductImages/20181/5/2973897/M_20181-8S0698Z1-H45_A.jpg"
"[""Erkek"",""Tişört ve Atlet""]","V Yaka Tişört","https://akcdn2.lcwaikiki.com/ProductImages/20181/1/3003538/M_20181-8S1289Z8-L6T_A.jpg"
"[""Kadın"",""Aksesuar""]","Parlak Görünümlü Mini Cüzdan","https://akcdn2.lcwaikiki.com/ProductImages/20181/2/3183272/V2/M_20181-8SB418Z8-J9B_A.jpg"
"[""Kadın"",""Aksesuar""]","Parlak Yazı Baskılı Sırt Çantası","http://akcdn1.lcwaikiki.com/ProductImages/20181/2/3112118/V1/M_20181-8S7802Z8-CVT_A.jpg"
"[""Kız Bebek"",""Yenidoğan""]","Yenidoğan Takım 3'lü","https://akcdn2.lcwaikiki.com/ProductImages/20172/5/2913302/M_20172-7K7359Z1-676_A.jpg"
"[""Kız Bebek"",""Tişört, Body ve Atlet""]","Ekru Baskılı Kısa Kollu Bisiklet Yaka Tişört","https://akcdn1.lcwaikiki.com/ProductImages/20171/5/2761903/M_20171-7YJ718Z1-EEW_A.jpg"
"[""Kadın"",""Kaban, Mont ve Trençkot""]","Kapüşonlu Yağmurluk","https://akstatic.lcwaikiki.com/ProductImages/20181/2/2936877/M_20181-8S0325Z8-GPV_A.jpg"
"[""Kız Bebek"",""Tulum""]","Kız Bebek Patikli Polar Tulum","https://akcdn3.lcwaikiki.com/ProductImages/20172/5/2845722/M_20172-7K5419Z1-HHM_A.jpg"
"[""Erkek Bebek"",""Yenidoğan""]","Gri Takım","https://akcdn1.lcwaikiki.com/ProductImages/20181/5/3006361/M_20181-8S1456Z1-355_A.jpg"
"[""Erkek"",""Gömlek""]","Ekose Uzun Kollu Gömlek","https://akcdn1.lcwaikiki.com/ProductImages/20181/1/2929291/V2/M_20181-8S0167Z8-714_A.jpg"
"[""Yatak Odası"",""Nevresim""]","Çift Kişilik Çift Taraflı Nevresim Takımı","https://akstatic.lcwaikiki.com/ProductImages/20162/9/2940910/M_20162-7KH084Z8-FTG_A.jpg"
"[""Erkek Bebek"",""İç Giyim ve Pijama""]","Kız Bebek Çıtçıtlı Body 2'li","http://akstatic.lcwaikiki.com/ProductImages/20181/5/3039714/M_20181-8S3000Z1-JPX_A.jpg"
"[""Kadın"",""Tunik""]","Tunik","https://akcdn2.lcwaikiki.com/ProductImages/20172/2/2925289/M_20172-7K8837Z8-359_A.jpg"
"[""Kadın"",""Gömlek ve Bluz""]","Desenli Gömlek","https://akcdn1.lcwaikiki.com/ProductImages/20181/2/3201083/M_20181-8SC704Z8-674_A.jpg"
"[""Erkek"",""Ayakkabı ve Terlik""]","Deri Görünümlü Günlük Ayakkabı","https://akcdn1.lcwaikiki.com/ProductImages/20181/1/3052565/M_20181-8S4443Z8-HUC_A.jpg"
"[""Kadın"",""Sweatshirt""]","Yazı Baskılı Kapüşonlu Sweatshirt","https://akstatic.lcwaikiki.com/ProductImages/20181/2/3167830/M_20181-8SK847Z8-EEW_A.jpg"
"[""Kız Çocuk"",""Elbise""]","Fırfır Detaylı Elbise","https://akcdn1.lcwaikiki.com/ProductImages/20181/4/3098890/M_20181-8S6526Z4-LRC_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","Kapüşonlu Kalın Bomber Mont","https://akcdn2.lcwaikiki.com/ProductImages/20162/1/2518289/M_20162-6K0360Z8-D1F_A1.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Uzun Hırka","https://akcdn2.lcwaikiki.com/ProductImages/20172/2/2928859/M_20172-7K9462Z8-DNJ_A.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Kol Detaylı Hırka","https://akcdn2.lcwaikiki.com/ProductImages/20172/2/2956983/M_20172-7KH312Z8-A1O_A.jpg"
"[""Erkek"",""Jean""]","Rahat Kesim Jean Pantolon","https://akstatic.lcwaikiki.com/ProductImages/20181/1/3108696/M_20181-8S7289Z8-507_A.jpg"
"[""Erkek Bebek"",""Kaban ve Mont""]","Erkek Bebek Kalın Kaşe Kaban","https://akcdn2.lcwaikiki.com/ProductImages/20172/5/2754421/M_20172-7K2362Z1-HSA_A.jpg"
"[""Erkek"",""Hırka ve Kazak""]","Çizgili Bisiklet Yaka Kazak","https://akcdn3.lcwaikiki.com/ProductImages/20181/1/3048351/V2/M_20181-8S3722Z8-J5E_5.jpg"
"[""Kadın"",""Jean""]","Bilek Boy Boru Paça Jean Pantolon","https://akstatic.lcwaikiki.com/ProductImages/20181/2/3115366/M_20181-8S8467Z8-309_B.jpg"
"[""Kadın"",""Jean""]","İspanyol Paça Jean Pantolon","http://akcdn2.lcwaikiki.com/ProductImages/20181/2/3119788/M_20181-8S8851Z8-311_A.jpg"
"[""Erkek Bebek"",""Tişört ve Atlet""]","Erkek Bebek Baskılı Tişört","http://akstatic.lcwaikiki.com/ProductImages/20172/5/2728089/M_20172-7K0952Z1-JCH_A.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Dantel Detaylı Destekli Sütyen","http://akstatic.lcwaikiki.com/ProductImages/20181/2/3117122/M_20181-8S8598Z8-FTE_A.jpg"
"[""Kız Bebek"",""Yenidoğan""]","[""Citcitli Body - 7KH991Z1"",""Takim 2'li - 8S2658Z1"",""Takim - 7K2552Z1""]","[""https://akcdn1.lcwaikiki.com/ProductImages/20172/5/2980697/S_20172-7KH991Z1-JPX_A.jpg"",""http://akcdn3.lcwaikiki.com/ProductImages/20181/5/3033466/S_20181-8S2658Z1-629_A.jpg"",""http://akstatic.lcwaikiki.com/ProductImages/20172/5/2755223/S_20172-7K2552Z1-671_A.jpg""]"
"[""Kadın"",""Ceket ve Yelek""]","Yırtık Detaylı Jean Ceket","http://akcdn3.lcwaikiki.com/ProductImages/20181/2/3115330/M_20181-8S8461Z8-311_A.jpg"
"[""Kadın"",""Pantolon""]","Triko Palazzo Pantolon","http://akcdn2.lcwaikiki.com/ProductImages/20172/2/2916414/M_20172-7K7829Z8-CVL_A.jpg"
"[""Kadin"",""Kadin"",""Kaban, Mont ve Trenckot""]","Kaban - 7K8922Z8","http://akcdn3.lcwaikiki.com/ProductImages/20172/2/2925765/M_20172-7K8922Z8-EYM_Z.jpg"
"[""Erkek Çocuk"",""Tişört ve Atlet""]","Polo Yaka Uzun Kollu Tişört","http://akcdn3.lcwaikiki.com/ProductImages/20181/4/2992947/V2/M_20181-8S0997Z4-JYX_A.jpg"
"[""Erkek Bebek"",""İç Giyim ve Pijama""]","Erkek Bebek Pijama Takımı","https://akcdn1.lcwaikiki.com/ProductImages/20172/5/2937958/M_20172-7KG929Z1-L0M_A.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Asimetrik Askılı Sütyen","http://akcdn3.lcwaikiki.com/ProductImages/20172/2/3108833/M_20172-7KA624Z8-E0N_A.jpg"
"[""Erkek Çocuk"",""Pantolon""]","Polar Astarlı Gabardin Pantolon","http://akstatic.lcwaikiki.com/ProductImages/20172/4/2870749/M_20172-7K5952Z4-HKT_A.jpg"
"[""Kadın"",""Jean""]","Bilek Boy Boru Paça Jean Pantolon","http://akstatic.lcwaikiki.com/ProductImages/20181/2/3115366/M_20181-8S8467Z8-309_A.jpg"
"[""Kız Bebek"",""Takım""]","Kız Bebek Tişört ve Salopet","http://akcdn3.lcwaikiki.com/ProductImages/20181/5/3005028/V2/M_20181-8S1319Z1-760_A.jpg"
"[""Kız Bebek"",""Yenidoğan""]","Kız Bebek Takım 3'lü","http://akcdn3.lcwaikiki.com/ProductImages/20181/5/3033464/M_20181-8S2657Z1-GKX_A.jpg"
"[""Erkek"",""Spor Giyim""]","Eşofman Altı","http://akstatic.lcwaikiki.com/ProductImages/20181/1/2989760/M_20181-8S0943Z8-355_A.jpg"
"[""Erkek Çocuk"",""Aksesuar""]","Kulaklı Bere","http://akstatic.lcwaikiki.com/ProductImages/20172/4/2907637/M_20172-7K6888Z4-D1T_A.jpg"
"[""Erkek Çocuk"",""Gömlek""]","Gömlek","http://akcdn2.lcwaikiki.com/ProductImages/20172/4/3136513/M_20172-7KB815Z4-031_A.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Kazak","https://akcdn1.lcwaikiki.com/ProductImages/20172/2/2928473/M_20172-7K9355Z8-JRQ_A.jpg"
"[""Kadın"",""Ayakkabı ve Terlik""]","Spor Ayakkabı","http://akstatic.lcwaikiki.com/ProductImages/20181/2/3017326/M_20181-8S2152Z8-G8Z_A.jpg"
"[""Banyo"",""Banyo Paspası""]","Banyo Paspası 2'li","https://akcdn1.lcwaikiki.com/ProductImages/20162/7/3142780/M_20162-8SH570Z8-CS3_A.jpg"
"[""Kız Çocuk"",""Pantolon""]","İspanyol Paça Tayt Pantolon","http://akstatic.lcwaikiki.com/ProductImages/20181/4/3058630/M_20181-8S5277Z4-GW3_A.jpg"
"[""Kız Bebek"",""İç Giyim ve Pijama""]","Kız Bebek Çoraplı Pijama Alt 2'li","https://akcdn1.lcwaikiki.com/ProductImages/20172/5/2757269/M_20172-7K2873Z1-HKL_A.jpg"
"[""Kız Bebek"",""Elbise""]","Kız Bebek Jean Elbise","http://akcdn2.lcwaikiki.com/ProductImages/20181/5/3003428/M_20181-8S1280Z1-507_A.jpg"
"[""Cocuk"",""Kiz Cocuk"",""Tisort, Body ve Atlet""]","Tisort - 8S1391Z4","https://akcdn1.lcwaikiki.com/ProductImages/20181/4/3005307/M_20181-8S1391Z4-FZU_A.jpg"
"[""Erkek"",""Gömlek""]","Çizgili Uzun Kollu Oxford Gömlek","http://akcdn3.lcwaikiki.com/ProductImages/20181/1/2983916/V1/M_20181-8S0905Z8-KE8_5.jpg"
"[""Kız Çocuk"",""İç Giyim ve Pijama""]","Külot 4'lü","http://akcdn3.lcwaikiki.com/ProductImages/20181/4/3133805/M_20181-8SG634Z4-E5X_A.jpg"
"[""Erkek Bebek"",""İç Giyim ve Pijama""]","Erkek Bebek Baskılı Pijama Takımı","http://akcdn2.lcwaikiki.com/ProductImages/20172/5/2810014/M_20172-7K4306Z1-868_A.jpg"
"[""Kız Çocuk"",""Tişört, Body ve Atlet""]","Baskılı Tişört","http://akcdn3.lcwaikiki.com/ProductImages/20172/4/2809363/M_20172-7K4178Z4-FDU_A.jpg"
"[""Erkek"",""İç Giyim ve Pijama""]","Pijama Alt","https://akcdn1.lcwaikiki.com/ProductImages/20171/1/2924460/M_20171-7YC821Z8-602_A.jpg"
"[""Erkek"",""Hırka ve Kazak""]","Ceket Yaka Hırka","http://akstatic.lcwaikiki.com/ProductImages/20181/1/3048781/V1/M_20181-8S3807Z8-839_5.jpg"
"[""Erkek"",""İç Giyim ve Pijama""]","Esnek Kumaş Boxer 3'lü","https://akcdn1.lcwaikiki.com/ProductImages/20172/1/2935759/M_20172-7KG535Z8-CVL_A.jpg"
"[""Kadın"",""Pantolon""]","Beli Lastikli Dokulu Havuç Pantolon","http://static.lcwaikiki.com/ProductImages/20181/2/3163632/M_20181-8SK128Z8-LE0_A.jpg"
"[""Kadın"",""Spor Giyim""]","Spor Tişört","https://akcdn1.lcwaikiki.com/ProductImages/20172/2/3048939/V1/M_20172-7KK345Z8-ATB_5.jpg"
"[""Erkek Bebek"",""Aksesuar""]","Kaydırmaz Tabanlı Soket Çorap 5'li","http://akstatic.lcwaikiki.com/ProductImages/20181/5/3108329/M_20181-8S7228Z1-K00_A.jpg"
"[""Erkek Çocuk"",""Pantolon""]","Slim Gabardin Pantolon","https://akcdn1.lcwaikiki.com/ProductImages/20172/4/3128013/M_20172-7KB567Z4-HNY_A.jpg"
"[""Kadın"",""Elbise""]","Yakası Metal Detaylı Elbise","http://akcdn3.lcwaikiki.com/ProductImages/20172/2/3026023/M_20172-7KJ657Z8-CVL_A.jpg"
"[""Erkek"",""Erkek"",""Kaban ve Mont""]","Mont - 7K8996Z8","https://akcdn1.lcwaikiki.com/ProductImages/20172/1/2926139/V1/M_20172-7K8996Z8-HNG_A.jpg"
"[""Kadın"",""Jean""]","İspanyol Paça Jean Pantolon","http://akcdn2.lcwaikiki.com/ProductImages/20181/2/2981293/M_20181-8S0812Z8-H45_Z.jpg"
"[""Erkek"",""Jean"",""Erkek"",""Jean""]","[""Pantolon - 7K7853Z8"",""Jean Pantolon - 7K1639Z8"",""Pantolon - 7KG620Z8""]","[""https://akcdn1.lcwaikiki.com/ProductImages/20172/1/2916643/S_20172-7K7853Z8-708_A.jpg"",""http://akstatic.lcwaikiki.com/ProductImages/20172/1/2749550/S_20172-7K1639Z8-H45_A.jpg"",""https://akcdn1.lcwaikiki.com/ProductImages/20172/1/2936706/S_20172-7KG620Z8-309_A.jpg""]"
"[""Kız Bebek"",""Pantolon""]","Kız Bebek Kadife Tayt Pantolon","http://akcdn2.lcwaikiki.com/ProductImages/20172/5/2711777/M_20172-7K0548Z1-A7F_A.jpg"
"[""Kadın"",""Tunik""]","Gömlek Yaka Tunik","http://akcdn2.lcwaikiki.com/ProductImages/20172/2/2916733/M_20172-7K7872Z8-CVL_A.jpg"
"[""Erkek Çocuk"",""Pantolon""]","Beli Lastik Detaylı Gabardin Chino Pantolon","https://akcdn1.lcwaikiki.com/ProductImages/20172/4/2709260/V1/M_20172-7K0484Z4-J2Y_A.jpg"
"[""Erkek"",""Gömlek""]","Uzun Kollu Oxford Gömlek","https://akcdn1.lcwaikiki.com/ProductImages/20181/1/2931794/M_20181-8S0227Z8-CS3_A.jpg"
"[""Kadın"",""Gömlek ve Bluz""]","Desenli Gömlek","http://akstatic.lcwaikiki.com/ProductImages/20172/2/2912994/M_20172-7K7302Z8-031_A.jpg"
"[""Kadın"",""Kaban, Mont ve Trençkot""]","Kapüşonlu Kalın Kaban","http://akcdn3.lcwaikiki.com/ProductImages/20172/2/2802434/M_20172-7K3858Z8-E1J_B.jpg"
"[""Kız Bebek"",""Tişört, Body ve Atlet""]","Kız Bebek Baskılı Tişört 3'lü","http://akstatic.lcwaikiki.com/ProductImages/20181/5/3054541/M_20181-8S4636Z1-E5X_A.jpg"
"[""Mutfak"",""Kurulama Bezi""]","Kurulama Bezi 2'li","http://akcdn3.lcwaikiki.com/ProductImages/20162/6/3005182/M_20162-7KI550Z8-677_A.jpg"
"[""Erkek Bebek"",""İç Giyim ve Pijama""]","Erkek Bebek Pijama Altı 2'li","https://akcdn1.lcwaikiki.com/ProductImages/20172/5/3055421/M_20172-7KK743Z1-355_A.jpg"
"[""Kız Çocuk"",""Tişört, Body ve Atlet""]","Çizgili Aplikeli Tişört","https://akcdn1.lcwaikiki.com/ProductImages/20172/4/2925112/M_20172-7K8805Z4-031_A.jpg"
"[""Kadin"",""Kadin"",""Gomlek ve Bluz""]","Bluz - 8SK564Z8","http://static.lcwaikiki.com/ProductImages/20181/2/3166346/M_20181-8SK564Z8-CVL_A.jpg"
"[""Erkek"",""Jean""]","Slim Jean Pantolon","http://akstatic.lcwaikiki.com/ProductImages/20172/1/2936706/M_20172-7KG620Z8-309_A.jpg"
"[""Kız Bebek"",""Elbise"",""Bebek & Çocuk"",""Battaniye""]","[""Elbise - 7KG445Z1"",""Battaniye - 8SH210Z1""]","[""http://akcdn3.lcwaikiki.com/ProductImages/20172/5/2935421/S_20172-7KG445Z1-713_A.jpg"",""http://akstatic.lcwaikiki.com/ProductImages/20162/10/3138827/S_20162-8SH210Z1-671_A.jpg""]"
"[""Bebek"",""Erkek Bebek"",""Tisort ve Atlet""]","Tisort 2'li - 8S1034Z1","https://akcdn1.lcwaikiki.com/ProductImages/20181/5/2994181/M_20181-8S1034Z1-F8Y_A.jpg"
"[""Genc"",""Genc Kiz"",""Hirka ve Kazak""]","Kazak - 7KK981Z8","http://static.lcwaikiki.com/ProductImages/20172/3/3068484/M_20172-7KK981Z8-DAA_A.jpg"
"[""Kadın"",""Pantolon""]","Bilek Boy Pantolon","http://akstatic.lcwaikiki.com/ProductImages/20181/2/3026864/M_20181-8S2532Z8-E1J_A.jpg"
"[""Erkek Çocuk"",""Spor Giyim""]","Eşofman Altı","http://akstatic.lcwaikiki.com/ProductImages/20162/4/2527200/M_20162-6K1122Z4-63S_A.jpg"
"[""Kadin"",""Kadin"",""Jean""]","Pantolon - 8S8443Z8","http://akcdn2.lcwaikiki.com/ProductImages/20181/2/3115206/M_20181-8S8443Z8-507_A.jpg"
"[""Kadın"",""Jean""]","Skinny Jean Pantolon","http://akstatic.lcwaikiki.com/ProductImages/20181/2/3133061/M_20181-8SG535Z8-327_5.jpg"
"[""Erkek"",""Spor Giyim""]","Eşofman Altı","http://akcdn2.lcwaikiki.com/ProductImages/20172/1/2750646/M_20172-7K1831Z8-354_A.jpg"
"[""Kadin"",""Kadin"",""Hirka ve Kazak""]","Kazak - 7K8221Z8","https://akcdn1.lcwaikiki.com/ProductImages/20172/2/2921055/V1/M_20172-7K8221Z8-G8Z_5.jpg"
"[""Erkek Çocuk"",""Pantolon""]","Standart Kalıp Gabardin Pantolon","http://akstatic.lcwaikiki.com/ProductImages/20172/4/2868277/M_20172-7K5890Z4-HRZ_A.jpg"
"[""Kadın"",""Tunik""]","Tunik","http://akcdn3.lcwaikiki.com/ProductImages/20172/2/2937403/M_20172-7KG793Z8-E6R_A.jpg"
"[""Erkek"",""Tişört ve Atlet""]","Polo Yaka Tişört","http://akstatic.lcwaikiki.com/ProductImages/20171/1/2929600/M_20171-7YD237Z8-FSM_A.jpg"
"[""Kız Bebek"",""Tulum""]","Kız Bebek Uyku Tulumu","http://akcdn3.lcwaikiki.com/ProductImages/20172/5/2809803/M_20172-7K4257Z1-355_A.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Bisiklet Yaka Kazak","http://akstatic.lcwaikiki.com/ProductImages/20172/2/2754606/M_20172-7K2415Z8-DCY_A.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Uzun Cepli Hırka","http://akstatic.lcwaikiki.com/ProductImages/20172/2/2887438/M_20172-7K6602Z8-L17_A.jpg"
"[""Erkek"",""Tişört ve Atlet""]","Polo Yaka Tişört","http://akcdn2.lcwaikiki.com/ProductImages/20171/1/2929600/M_20171-7YD237Z8-FSZ_A.jpg"
"[""Erkek"",""Tişört ve Atlet""]","Baskılı Tişört","http://akcdn3.lcwaikiki.com/ProductImages/20171/1/3014676/M_20171-7YE148Z8-670_A.jpg"
"[""Kadın"",""Elbise""]","Kol Ucu Volanlı Elbise","http://static.lcwaikiki.com/ProductImages/20181/2/3156909/M_20181-8SJ258Z8-CSG_A.jpg"
"[""Cocuk"",""Kiz Cocuk"",""Spor Giyim""]","Hirka - 7KI216Z4","https://akcdn1.lcwaikiki.com/ProductImages/20172/4/2994200/V1/M_20172-7KI216Z4-CVL_A.jpg"
"[""Kız Çocuk"",""Gömlek, Bluz ve Tunik""]","Fırfır Detaylı Gömlek","http://akcdn2.lcwaikiki.com/ProductImages/20181/4/3024365/M_20181-8S2201Z4-FFB_A.jpg"
"[""Kadın"",""Jean""]","Super Skinny Jean Pantolon","https://akcdn1.lcwaikiki.com/ProductImages/20181/2/3081688/M_20181-8S5812Z8-327_A.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Bordo Kadife Gecelik","https://akcdn1.lcwaikiki.com/ProductImages/20162/2/2692257/M_20162-6KJ835Z8-5RA_A.jpg"
"[""Erkek Bebek"",""Takım""]","Erkek Bebek Gömlek ve Pantolon","http://akcdn3.lcwaikiki.com/ProductImages/20181/5/3201328/M_20181-8SC731Z1-KMZ_A.jpg"
"[""Kız Çocuk"",""Şort ve Capri""]","Kadife Şort ve Külotlu Çorap","http://akcdn3.lcwaikiki.com/ProductImages/20172/4/2924058/M_20172-7K8539Z4-CVL_5.jpg"
"[""Kız Çocuk"",""Elbise""]","Omuzu Açık Volanlı Elbise","http://akcdn3.lcwaikiki.com/ProductImages/20181/4/3097704/M_20181-8S6503Z4-FDU_A.jpg"
"[""Kız Çocuk"",""Elbise""]","Çiçek Desenli Elbise","http://akcdn2.lcwaikiki.com/ProductImages/20181/4/3073678/M_20181-8S5604Z4-671_A.jpg"
"[""Erkek"",""Hırka ve Kazak""]","Siyah Düz Bisiklet Yaka Kazak","http://akcdn2.lcwaikiki.com/ProductImages/20162/1/2519652/M_20162-6K0441Z8-G99_A.jpg"
"[""Erkek Çocuk"",""Pantolon""]","Beli Lastikli Poplin Pantolon","http://akstatic.lcwaikiki.com/ProductImages/20172/4/2737263/M_20172-7K1100Z4-JTK_A.jpg"
"[""Kadın"",""Pantolon""]","Esnek Kumaş Gabardin Pantolon","http://akcdn2.lcwaikiki.com/ProductImages/20181/2/3154223/M_20181-8SI828Z8-EEW_5.jpg"
"[""Kız Çocuk"",""Elbise""]","Siyah Dantel Elbise","http://akcdn3.lcwaikiki.com/ProductImages/20181/4/3042486/M_20181-8S3175Z4-CVL_A.jpg"
"[""Kız Bebek"",""Ceket ve Yelek""]","Kız Bebek Polar Yelek","http://akcdn2.lcwaikiki.com/ProductImages/20172/5/2891289/M_20172-7K6671Z1-GJA_A.jpg"
"[""Kadın"",""Pantolon""]","Lastikli Bel Tayt Pantolon","http://akstatic.lcwaikiki.com/ProductImages/20181/2/3222761/M_20181-8SD503Z8-CVL_A.jpg"
"[""Erkek Bebek"",""Tulum""]","Erkek Bebek Uyku Tulumu","http://akcdn3.lcwaikiki.com/ProductImages/20172/5/2756713/M_20172-7K2774Z1-702_A.jpg"
"[""Kadın"",""Spor Giyim""]","Spor Tayt","http://akstatic.lcwaikiki.com/ProductImages/20172/2/3014345/V1/M_20172-7KJ142Z8-DDM_Z.jpg"
"[""Cocuk"",""Kiz Cocuk"",""Tisort, Body ve Atlet""]","Tisort - 7KG591Z4","http://akcdn3.lcwaikiki.com/ProductImages/20172/4/2935972/M_20172-7KG591Z4-490_A.jpg"
"[""Kadın"",""Ayakkabı ve Terlik""]","Spor Ayakkabı","http://akcdn2.lcwaikiki.com/ProductImages/20172/2/3051705/M_20172-7KK503Z8-J5E_A.jpg"
"[""Erkek Çocuk"",""Spor Giyim""]","Eşofman Altı","http://akcdn3.lcwaikiki.com/ProductImages/20162/4/2527200/M_20162-6K1122Z4-HDT_A.jpg"
"[""Erkek Bebek"",""Sweatshirt""]","Erkek Bebek Fermuarlı Sweatshirt","http://akcdn3.lcwaikiki.com/ProductImages/20172/5/2859741/M_20172-7K5694Z1-CSH_A.jpg"
"[""Bebek"",""Kiz Bebek"",""Etek""]","Etek - 8S0364Z1","https://akcdn1.lcwaikiki.com/ProductImages/20181/5/2940736/M_20181-8S0364Z1-KWS_A.jpg"
"[""Kız Bebek"",""Yenidoğan""]","Yenidoğan Hediye Seti","http://akcdn2.lcwaikiki.com/ProductImages/20172/5/2910331/V1/M_20172-7K7031Z1-JPW_A.jpg"
"[""Kadın"",""Tunik""]","Uzun Jean Tunik","http://akstatic.lcwaikiki.com/ProductImages/20181/2/3093717/V1/M_20181-8S6317Z8-H45_A.jpg"
"[""Kadın"",""İç Giyim ve Pijama""]","Dantel Detaylı Külot","http://akcdn2.lcwaikiki.com/ProductImages/20172/2/2925809/M_20172-7K8931Z8-CSW_A.jpg"
"[""Kız Bebek"",""İç Giyim ve Pijama""]","Kız Bebek Çıtçıtlı Body 2'li","https://akcdn1.lcwaikiki.com/ProductImages/20172/5/2935635/M_20172-7KG501Z1-GSY_A.jpg"
"[""Kadın"",""Etek""]","Fırfır Detaylı Ekose Mini Etek","http://akcdn2.lcwaikiki.com/ProductImages/20181/2/3184078/M_20181-8SB560Z8-825_A.jpg"
