"productcategory","productname","productimageurl"
"[""Kız Bebek"",""İç Giyim ve Pijama""]","Kız Bebek Pijama Takımı","https://akcdn2.lcwaikiki.com/ProductImages/20181/5/3047107/M_20181-8S3431Z1-L7C_A.jpg"
"[""Kız Bebek"",""Şort ve Capri""]","Kız Bebek Askılı Jean Şort","https://akcdn3.lcwaikiki.com/ProductImages/20181/5/2973926/M_20181-8S0706Z1-309_A.jpg"
"[""Kadın"",""Jean""]","Kesik Detaylı Jean Pantolon","https://akstatic.lcwaikiki.com/ProductImages/20172/2/3013583/M_20172-7KJ070Z8-309_A.jpg"
"[""Kadın"",""Hırka ve Kazak""]","Kuş Gözü Detaylı Hırka","https://akstatic.lcwaikiki.com/ProductImages/20181/2/3063140/M_20181-8S5301Z8-HDA_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","İnce Mont","https://akcdn2.lcwaikiki.com/ProductImages/20172/1/2719410/V1/M_20172-7K0698Z8-JWN_A.jpg"
"[""Erkek Çocuk"",""Pantolon""]","Slim Gabardin Pantolon","https://akcdn1.lcwaikiki.com/ProductImages/20181/4/2983819/V2/M_20181-8S0880Z4-HEF_5.jpg"
"[""Kadın"",""Gömlek ve Bluz""]","Çiçek Desenli Bluz","https://akcdn3.lcwaikiki.com/ProductImages/20181/2/3171590/M_20181-8SA181Z8-LQJ_A.jpg"
"[""Erkek Çocuk"",""Jean""]","Skinny Jean Pantolon","https://akcdn3.lcwaikiki.com/ProductImages/20181/4/3127473/V1/M_20181-8S9901Z4-GRD_5.jpg"
"[""Kadın"",""Kaban, Mont ve Trençkot""]","Leopar Desenli Yağmurluk","https://akcdn3.lcwaikiki.com/ProductImages/20181/2/2978614/M_20181-8S0754Z8-F9C_A.jpg"
"[""Erkek Çocuk"",""Pantolon""]","Gabardin Chino Pantolon","https://akcdn3.lcwaikiki.com/ProductImages/20181/4/3005408/V1/M_20181-8S1416Z4-GCZ_5.jpg"
"[""Erkek Bebek"",""Tişört ve Atlet""]","Erkek Bebek Yazı Baskılı Tişört 2'li","http://static.lcwaikiki.com/ProductImages/20181/5/2994189/M_20181-8S1036Z1-847_A.jpg"
"[""Kadın"",""Tunik""]","Tunik","https://akstatic.lcwaikiki.com/ProductImages/20172/2/2975639/V2/M_20172-7KH876Z8-FKR_5.JPG"
"[""Kız Çocuk"",""Gömlek, Bluz ve Tunik""]","Çiçek Desenli Bluz","https://akcdn3.lcwaikiki.com/ProductImages/20181/4/3047288/V1/M_20181-8S3465Z4-713_5.jpg"
"[""Erkek"",""Kaban ve Mont""]","Kapüşonlu Kalın Kaban","https://akcdn3.lcwaikiki.com/ProductImages/20162/1/2565633/M_20162-6K5614Z8-CVL_A.jpg"
"[""Kadın"",""Tunik""]","Tunik","https://akcdn1.lcwaikiki.com/ProductImages/20172/2/3114072/M_20172-7KA896Z8-EEW_B.jpg"
"[""Kadın"",""Pantolon""]","Skinny Pantolon","https://akcdn2.lcwaikiki.com/ProductImages/20181/2/3144401/M_20181-8SH679Z8-CVL_A.jpg"
"[""Kadın"",""Sweatshirt""]","Kapüşonlu Fermuarlı Sweatshirt","https://akcdn3.lcwaikiki.com/ProductImages/20181/2/3096110/M_20181-8S6481Z8-D5E_A.jpg"
"[""Kadın"",""Tunik""]","Kolları Nakış İşlemeli Viskon Tunik","http://static.lcwaikiki.com/ProductImages/20181/2/3161132/M_20181-8SJ743Z8-K1Y_A.jpg"
"[""Erkek Bebek"",""Aksesuar""]","Sırt Bezi 2'li","https://akcdn3.lcwaikiki.com/ProductImages/20172/5/2889578/M_20172-7K6659Z1-JPX_A.jpg"
"[""Bebek & Çocuk"",""Bornoz""]","Çocuk Bornoz","https://akstatic.lcwaikiki.com/ProductImages/20162/10/3150856/V1/M_20162-7KB952Z4-J5E_A.jpg"
"[""Kadın"",""Gömlek ve Bluz""]","Tek Omuzu Açık Bluz","https://akcdn3.lcwaikiki.com/ProductImages/20181/2/3189432/M_20181-8SB993Z8-CWV_B.jpg"
"[""Kadın"",""Etek""]","Desenli Viskon Etek","https://akcdn3.lcwaikiki.com/ProductImages/20181/2/3057358/M_20181-8S5155Z8-LU7_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","Kapüşonlu Kalın Şişme Mont","https://akstatic.lcwaikiki.com/ProductImages/20172/1/2758918/M_20172-7K3064Z8-HRZ_A.jpg"
"[""Erkek Bebek"",""İç Giyim ve Pijama""]","Erkek Bebek Pijama Takım","https://akstatic.lcwaikiki.com/ProductImages/20181/5/3051382/M_20181-8S4215Z1-679_A.jpg"
"[""Kadın"",""Elbise""]","Balon Kol Çiçek Nakışlı Elbise","https://akcdn2.lcwaikiki.com/ProductImages/20181/2/3156906/V2/M_20181-8SJ257Z8-CVL_5.jpg"
"[""Erkek Çocuk"",""İç Giyim ve Pijama""]","İçlik","https://akcdn3.lcwaikiki.com/ProductImages/20172/4/3012742/M_20172-7KJ031Z4-031_A.jpg"
"[""Kız Bebek"",""Tulum""]","Kız Bebek Kardan Adam Desenli Tulum","https://akstatic.lcwaikiki.com/ProductImages/20172/5/2937511/V1/M_20172-7KG821Z1-GZX_Z.jpg"
"[""Erkek Bebek"",""Eşofman""]","Erkek Bebek Eşofman Altı","https://akcdn3.lcwaikiki.com/ProductImages/20172/5/2720552/M_20172-7K0772Z1-774_A.jpg"
"[""Kız Bebek"",""Eşofman""]","Kız Bebek Jean Görünümlü Uzun Tayt","https://akcdn1.lcwaikiki.com/ProductImages/20181/5/3034429/M_20181-8S2862Z1-DU2_A.jpg"
"[""Erkek"",""Kaban ve Mont""]","Kalın Bomber  Mont","https://akstatic.lcwaikiki.com/ProductImages/20162/1/2592986/M_20162-6K6954Z8-496_A.jpg"
